Gmt time,Open,High,Low,Close,Volume
31.12.2019 00:00:00.000,1.12013,1.12050,1.12010,1.12035,1680.4
31.12.2019 01:00:00.000,1.12035,1.12138,1.12034,1.12126,3133.4099
31.12.2019 02:00:00.000,1.12126,1.12147,1.12098,1.12099,2396.77
31.12.2019 03:00:00.000,1.12097,1.12097,1.11987,1.12034,2474.72
31.12.2019 04:00:00.000,1.12034,1.12054,1.12027,1.12031,1251.58
31.12.2019 05:00:00.000,1.12032,1.12069,1.12020,1.12068,1514.21
31.12.2019 06:00:00.000,1.12068,1.12069,1.12040,1.12059,1389.88
31.12.2019 07:00:00.000,1.12059,1.12083,1.12030,1.12054,3924.05
31.12.2019 08:00:00.000,1.12057,1.12134,1.12029,1.12121,6024.4302
31.12.2019 09:00:00.000,1.12121,1.12174,1.12072,1.12136,5505.4302
31.12.2019 10:00:00.000,1.12137,1.12180,1.12086,1.12173,6671.6299
31.12.2019 11:00:00.000,1.12173,1.12283,1.12161,1.12277,8047.9502
31.12.2019 12:00:00.000,1.12277,1.12329,1.12271,1.12306,6213.1899
31.12.2019 13:00:00.000,1.12307,1.12389,1.12289,1.12379,6927.0601
31.12.2019 14:00:00.000,1.12381,1.12391,1.12180,1.12206,10084.4805
31.12.2019 15:00:00.000,1.12198,1.12327,1.12171,1.12238,14776.0801
31.12.2019 16:00:00.000,1.12237,1.12313,1.12162,1.12263,11096.0498
31.12.2019 17:00:00.000,1.12263,1.12294,1.12228,1.12291,4899.8198
31.12.2019 18:00:00.000,1.12289,1.12289,1.12226,1.12232,2486.46
31.12.2019 19:00:00.000,1.12231,1.12237,1.12168,1.12170,3289.72
31.12.2019 20:00:00.000,1.12170,1.12184,1.12147,1.12174,2279.05
31.12.2019 21:00:00.000,1.12174,1.12174,1.12076,1.12076,1710.1899
31.12.2019 22:00:00.000,1.12076,1.12076,1.12076,1.12076,0
31.12.2019 23:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 00:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 01:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 02:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 03:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 04:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 05:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 06:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 07:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 08:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 09:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 10:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 11:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 12:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 13:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 14:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 15:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 16:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 17:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 18:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 19:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 20:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 21:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 22:00:00.000,1.12076,1.12076,1.12076,1.12076,0
01.01.2020 23:00:00.000,1.12143,1.12218,1.12142,1.12188,1401.66
02.01.2020 00:00:00.000,1.12188,1.12190,1.12157,1.12183,1789.91
02.01.2020 01:00:00.000,1.12182,1.12244,1.12180,1.12209,3132.76
02.01.2020 02:00:00.000,1.12210,1.12245,1.12184,1.12222,2118.97
02.01.2020 03:00:00.000,1.12224,1.12231,1.12124,1.12132,2550.6499
02.01.2020 04:00:00.000,1.12132,1.12143,1.12008,1.12012,2658.7
02.01.2020 05:00:00.000,1.12011,1.12044,1.12009,1.12043,3424.3999
02.01.2020 06:00:00.000,1.12044,1.12077,1.12036,1.12077,3330.3601
02.01.2020 07:00:00.000,1.12078,1.12102,1.12043,1.12098,6752.8501
02.01.2020 08:00:00.000,1.12099,1.12137,1.12051,1.12120,7196.8901
02.01.2020 09:00:00.000,1.12119,1.12141,1.12011,1.12030,6928.9902
02.01.2020 10:00:00.000,1.12030,1.12039,1.11927,1.11982,7231.79
02.01.2020 11:00:00.000,1.11984,1.12021,1.11842,1.11848,8868.1396
02.01.2020 12:00:00.000,1.11847,1.11943,1.11829,1.11930,7013.3198
02.01.2020 13:00:00.000,1.11929,1.11970,1.11896,1.11963,188198.875
02.01.2020 14:00:00.000,1.11963,1.11965,1.11700,1.11741,121648.9609
02.01.2020 15:00:00.000,1.11739,1.12023,1.11708,1.12005,42482.7383
02.01.2020 16:00:00.000,1.12006,1.12030,1.11651,1.11661,44095.5898
02.01.2020 17:00:00.000,1.11661,1.11719,1.11635,1.11698,8147.6401
02.01.2020 18:00:00.000,1.11698,1.11723,1.11636,1.11702,6858.7002
02.01.2020 19:00:00.000,1.11702,1.11703,1.11642,1.11663,5628.54
02.01.2020 20:00:00.000,1.11662,1.11715,1.11659,1.11693,3691.01
02.01.2020 21:00:00.000,1.11692,1.11735,1.11689,1.11722,1517.578
02.01.2020 22:00:00.000,1.11722,1.11730,1.11687,1.11713,837.7
02.01.2020 23:00:00.000,1.11712,1.11734,1.11701,1.11708,1114.0601
03.01.2020 00:00:00.000,1.11707,1.11760,1.11698,1.11754,1770.63
03.01.2020 01:00:00.000,1.11753,1.11784,1.11722,1.11735,3335.47
03.01.2020 02:00:00.000,1.11735,1.11774,1.11718,1.11725,6198.96
03.01.2020 03:00:00.000,1.11725,1.11736,1.11695,1.11720,3515.53
03.01.2020 04:00:00.000,1.11720,1.11749,1.11685,1.11700,2752.53
03.01.2020 05:00:00.000,1.11700,1.11706,1.11643,1.11663,4027.49
03.01.2020 06:00:00.000,1.11663,1.11695,1.11638,1.11691,2995.73
03.01.2020 07:00:00.000,1.11691,1.11715,1.11521,1.11532,9234.2197
03.01.2020 08:00:00.000,1.11531,1.11604,1.11505,1.11512,12276.4805
03.01.2020 09:00:00.000,1.11512,1.11522,1.11400,1.11401,11537.6104
03.01.2020 10:00:00.000,1.11400,1.11433,1.11307,1.11360,10708.9404
03.01.2020 11:00:00.000,1.11361,1.11361,1.11249,1.11300,9108.3896
03.01.2020 12:00:00.000,1.11300,1.11426,1.11281,1.11391,8111.21
03.01.2020 13:00:00.000,1.11392,1.11488,1.11373,1.11381,10360.5303
03.01.2020 14:00:00.000,1.11380,1.11541,1.11353,1.11522,11179.8799
03.01.2020 15:00:00.000,1.11525,1.11674,1.11525,1.11633,13278.6201
03.01.2020 16:00:00.000,1.11634,1.11798,1.11624,1.11719,34948.2617
03.01.2020 17:00:00.000,1.11720,1.11740,1.11679,1.11721,5319.9702
03.01.2020 18:00:00.000,1.11721,1.11732,1.11659,1.11666,5769.2202
03.01.2020 19:00:00.000,1.11665,1.11681,1.11612,1.11673,6346.9199
03.01.2020 20:00:00.000,1.11673,1.11674,1.11600,1.11616,3136.625
03.01.2020 21:00:00.000,1.11614,1.11620,1.11523,1.11548,1493.575
03.01.2020 22:00:00.000,1.11548,1.11548,1.11548,1.11548,0
03.01.2020 23:00:00.000,1.11548,1.11548,1.11548,1.11548,0
